stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,Y_small,Y_med,Y_large,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
8017,1.351325102,0.562778469,0.411633132,0.081365199,0.788405277,0.667725446,1.036329186,0.317302707,0.240955146,0.059422882,0.163957383,0.017574881,6,5,0,1,1.407071481,1007.985617,0.10307303,-0.650443644,-7.84200217,0.869548855
8018,2.173368146,0.011806481,0.274691741,0.296312272,0.930878419,0.42761069,1.088668357,0.338853811,0.003859555,1.92E-46,0.003853129,6.43E-06,14,6,2,6,2.599689954,106.2830033,3.43E-05,-1.098252272,-9.481462649,0.716775236
8019,0.480450632,2.342506209,2.609488255,0.438844876,0.376208493,0.761614857,0.840626611,0.221326266,0.265448307,0.198513539,2.18E-34,0.066934768,7,0,6,1,0.547514034,814.2683563,0.186930342,-0.812203844,-7.733937129,0.832094553
8020,1.392412224,2.628837154,1.530707908,0.289179261,0.776127022,0.643625143,0.914788098,0.288167798,0.469071237,0.113383023,0.353177512,0.002510702,6,0,0,6,0.994066302,282.409594,0.006365138,-0.841740016,-8.04055601,0.790746916
8021,0.106385241,1.030941012,0.432521918,0.70483409,0.034835023,0.037705955,0.918257286,0.18706386,0.083925878,0.083925878,2.48E-57,7.08E-14,14,2,6,6,0.813986832,24.60355529,1.22E-13,-3.045075219,-14.66465422,0.738516035
8022,0.847025965,0.025648159,1.473158283,0.402605966,0.858919992,0.563374216,1.081821186,0.338151175,0.027012522,0.013446747,0.013565775,7.32E-15,12,4,2,6,2.22649534,110.6023526,3.05E-06,-2.166044319,-11.51555056,0.560573875
8023,1.983202828,0.006193392,1.797664579,0.627733331,0.37940253,0.107361613,1.086996514,0.337398015,0.005930718,2.09E-28,0.005930718,1.80E-53,14,6,2,6,2.609466261,104.394989,2.21E-07,-6.765081076,-21.26858431,0.461333899
8024,2.098698003,2.008690653,0.543985802,0.606449743,0.283468606,0.08776195,0.758498975,0.189173399,0.630008748,0.522060412,4.12E-07,0.107947924,10,0,6,4,0.618352524,394.6750996,0.105605248,-1.600639935,-9.221420454,0.459456169
8025,0.57640042,2.573095125,1.390007824,0.870297926,0.557458062,0.2639472,0.837891424,0.175778595,0.255038782,0.255038782,4.11E-19,1.51E-20,13,1,6,6,0.6665341,24.75637903,0,-4.458433527,-18.18637939,0.732316424
8026,1.59060038,0.918564596,1.725626132,0.292258228,0.915472867,0.646634431,1.074351208,0.341550636,0.097048858,0.000116708,0.09693215,5.16E-11,12,6,0,6,2.422153427,152.0029741,7.09E-06,-1.656805273,-10.43948463,0.573436276
8027,0.913389389,1.930574341,1.205098255,0.090161528,0.875014119,0.781586532,1.004163224,0.327028046,0.278151418,0.052633134,0.221143604,0.004374681,8,4,0,4,1.229287578,484.5467052,0.025358602,-0.73578473,-7.947136665,0.828679387
8028,1.779118597,2.920027995,1.163993738,0.270745854,0.144943131,0.749146487,0.883620837,0.25861707,0.532118102,0.425993432,1.67E-61,0.10612467,11,2,6,3,0.730204435,925.2544638,0.328929927,-1.038145765,-8.301909911,0.631598936
8029,2.781527031,2.452230069,2.501886821,0.727086351,0.049058777,0.263276856,0.718639158,0.132372508,0.711581329,0.711581329,6.78E-89,4.58E-28,13,1,6,6,0.657467884,25.70762688,0,-6.504112977,-23.79270054,0.718387938
8030,2.715520043,0.965090148,0.038915739,0.436898369,0.34295838,0.34313385,0.954393062,0.276545511,0.4659145,0.421515311,0.026688148,0.017711041,9,3,3,3,0.861469843,932.3480399,0.417211957,-0.900104546,-8.091210435,0.704919034
8031,2.651842228,1.567456948,0.664105356,0.749728622,0.518211872,0.875907438,0.918089611,0.25289634,0.3540051,0.306298051,5.62E-09,0.047707043,8,0,6,2,0.709345374,976.4484064,0.361230141,-0.885236243,-7.979350692,0.720501103
