stratID,F_small,F_med,F_large,S_small,S_med,S_large,B,Bflux,Y,E,E_small,E_med,E_large,Wmean,Winfmax,propLarge,slope,intercept,r2
2249,1.910137413,2.677231924,1.194999669,0.297448277,0.552084198,0.878235725,0.953528362,0.273199201,0.364987687,3,1,1,1,0.93603248,79.11604409,0.408172004,-1.07669912,-8.469792068,0.54067288
2250,2.932707547,2.74590336,2.100652993,0.013342092,0.572942907,0.747163064,1.150841902,0.271580665,0.140179446,4,3,1,0,3.861683809,674.4182024,0.306910485,-0.526839872,-8.292717974,0.784679476
2251,2.374151254,1.072486504,2.64903921,0.659132587,0.109227596,0.543544752,0.854599773,0.200280045,0.261643073,3,0,3,0,0.696129563,57.70638743,0.227140623,-0.833966608,-7.90738874,0.737419314
2252,2.962140931,0.715573736,2.202408706,0.505161481,0.709770496,0.674401914,1.081221462,0.308090753,0.08646804,3,2,0,1,2.017086767,220.8229525,0.084430246,-0.663627506,-8.13719577,0.796302282
2253,1.142071079,2.702063587,0.615994217,0.686491157,0.621505793,0.385197151,0.940434192,0.25115457,0.255454177,4,1,0,3,1.196339546,85.61793786,0.000139287,-1.062394775,-8.641190843,0.711052305
2254,0.596353699,1.209630717,1.324412512,0.19371178,0.525522363,0.613640377,0.931114182,0.255616414,0.250261663,0,0,0,0,0.841735124,92.44847547,0.232788161,-0.730643147,-7.668546431,0.814103702
2255,2.449011769,0.440046747,0.3169547,0.235639948,0.104736148,0.809182766,0.982789724,0.275718739,0.387777776,4,2,1,1,1.058768234,108.063401,0.405429937,-0.708902257,-7.816338954,0.829449621
2256,0.577111978,0.659141222,0.217845249,0.562719073,0.880693179,0.419609321,1.059949682,0.292767631,0.070764428,4,2,0,2,1.825508086,162.5275165,0.042008118,-0.679594438,-8.123935716,0.828410583
2257,0.615418091,2.92946941,2.713116681,0.040144922,0.550960073,0.595783789,0.915498796,0.262944577,0.306481891,2,1,0,1,0.817178881,78.46562451,0.276345755,-0.852017377,-7.922771528,0.702964283
2258,2.40161227,2.371833381,1.737463597,0.898313422,0.171603609,0.259153405,0.939152299,0.15706799,0.104876853,7,1,3,3,1.049441476,27.22250481,0,-9.569556653,-33.89326456,0.689847806
2259,1.025371799,2.537833315,1.0382449,0.069008676,0.245807306,0.722811897,0.943325703,0.272332584,0.325798126,5,1,3,1,0.8500913,68.42980489,0.437321018,-1.286933367,-8.812385636,0.455665647
2260,0.491593292,1.878258595,0.468734851,0.450991766,0.353027094,0.612417057,0.906430376,0.232514356,0.154250526,4,0,3,1,0.72581888,63.15070489,0.333597969,-0.957719786,-8.124130612,0.655181934
2261,0.186400129,0.917263049,1.570015489,0.693805673,0.386104509,0.258864332,0.915698081,0.146510499,0.113203215,7,1,3,3,0.949564259,25.23310894,0,-7.269194978,-25.16634707,0.705742697
2262,0.906141441,1.336841719,0.069385517,0.332269424,0.569184148,0.390184741,0.96549743,0.274646929,0.213215598,1,1,0,0,0.917303675,103.965087,0.256702191,-0.680292452,-7.630931427,0.884250703
2263,2.171664779,1.533563343,0.552706747,0.122288298,0.730048644,0.580856427,1.080136874,0.297147361,0.104538948,5,3,1,1,2.900725485,277.2718962,0.068384517,-0.633418437,-8.431384085,0.811316807
2264,2.674887932,0.077662478,0.716200444,0.270898464,0.0090281,0.42677161,1.053920787,0.295699444,0.079719312,7,3,1,3,2.901538349,126.4142803,2.05E-13,-2.413776342,-12.65010097,0.605019419
2265,0.977278246,2.221115901,1.364015625,0.010525272,0.372137625,0.022012613,0.778178546,0.182050665,0.678277728,3,0,0,3,0.871168071,48.28054774,3.78E-10,-15.7019296,-38.95880684,0.432273978
2266,0.603423887,0.957532554,2.029775429,0.921347984,0.177145951,0.161921459,0.947322392,0.160951547,0.078262799,7,1,3,3,1.029630291,26.71644081,0,-15.25279088,-49.13769381,0.701762968
2267,0.119928868,1.918275111,1.498515103,0.399730751,0.201718408,0.13927519,0.91509154,0.145638659,0.099061588,7,1,3,3,0.932534124,24.66322909,0,-14.19410662,-47.15082644,0.68411873
2268,2.985781228,0.735600354,2.100711874,0.159663501,0.617743185,0.333446212,1.029847858,0.289434768,0.212911625,6,3,0,3,2.787847411,151.3672652,2.22E-09,-5.141321753,-17.83647201,0.464536333
2269,1.594523072,2.674689561,0.816589195,0.911845811,0.0571711,0.323166153,0.940791157,0.157910714,0.09918323,7,1,3,3,1.044434689,27.10470585,6.49E-15,-3.416283683,-15.94319938,0.733857728
2270,0.796229388,2.577250381,1.496538986,0.006799316,0.25661793,0.485686261,0.854985165,0.248974974,0.417893205,4,0,3,1,0.728801326,53.9291972,0.268669668,-1.308830508,-8.760635081,0.480260688
2271,0.057282072,0.317619532,0.21393845,0.599551828,0.094272097,0.073551616,0.891723002,0.18773729,0.061108532,3,0,2,1,0.760230155,55.9426013,0.115246753,-0.849420112,-7.996272686,0.790781823
2272,1.762247865,1.431787268,0.030770648,0.50214288,0.615955831,0.970843483,0.962032575,0.27061517,0.197521549,2,1,0,1,0.876703559,87.1369892,0.332447796,-0.753768982,-7.791068626,0.815782239
2273,0.691130137,0.691136088,1.618003851,0.96897067,0.102365878,0.038501151,0.946161483,0.160441076,0.081797908,7,1,3,3,1.031757519,26.77734738,0,-20.08805992,-58.12820336,0.677950961
2274,1.770246212,1.82245169,0.021789706,0.222222497,0.983037263,0.598039126,1.103324216,0.297638143,0.085906556,2,2,0,0,1.546606427,243.9562697,0.230296272,-0.600931962,-7.749183066,0.896510429
2275,1.547272453,2.362699474,2.268165805,0.05538818,0.816233184,0.669400576,1.079687728,0.306218389,0.071200508,6,3,1,2,2.853132525,203.7024787,0.027875253,-0.721349382,-8.650193193,0.771044091
2276,0.506669921,2.899777654,0.515752077,0.253914331,0.510124224,0.560654698,0.897317226,0.239434324,0.225571335,3,0,2,1,0.748277511,66.57061883,0.288357042,-0.938672296,-8.062530151,0.661374076
2277,2.346384233,2.647783161,1.312868047,0.182339461,0.664021628,0.473881456,1.044496954,0.304952443,0.198568394,6,3,0,3,2.786823765,175.456068,4.10E-10,-1.707672936,-10.67052292,0.573050277
2278,1.68246516,2.676315996,0.797887062,0.90464748,0.438696312,0.118824384,0.940543973,0.157786088,0.100029097,7,1,3,3,1.045150434,27.12186056,0,-7.864071823,-28.8562735,0.6975881
2279,2.379729687,0.942732214,2.689674555,0.543571635,0.722086177,0.380588557,1.060972884,0.305031235,0.112034578,7,3,1,3,2.80167277,140.9007427,4.93E-12,-5.432209042,-18.55724336,0.480882443
2280,0.719429558,0.654717555,0.929899308,0.506000593,0.422089675,0.106236563,0.904148861,0.216141757,0.320702566,4,1,0,3,1.139803132,70.30320961,7.71E-08,-6.257029014,-19.46780062,0.456359035
2281,2.111075451,1.953225559,1.425393959,0.077902426,0.637506999,0.402558304,1.044408081,0.30334342,0.191321598,6,3,0,3,2.777412899,169.212095,3.18E-10,-2.747954764,-12.8332445,0.511525409
2282,2.653244924,1.53899483,1.122904006,0.05711546,0.074898068,0.599024763,0.954153669,0.307560471,0.596373039,7,2,3,2,1.027374248,75.79302874,0.409037205,-1.422539196,-9.219824786,0.477985868
2283,2.522908469,2.001235226,2.884044019,0.68115161,0.814519478,0.591637268,1.058077085,0.303193653,0.093949672,5,2,0,3,2.148222367,119.4186491,0.000902969,-0.9428443,-8.867281461,0.715633531
2284,2.149666395,2.799022282,0.534554038,0.669593054,0.463463115,0.417154521,0.857193042,0.211290557,0.241414245,4,0,3,1,0.703434799,55.36034382,0.222157947,-1.051726341,-8.270677152,0.59280814
2285,1.915646837,2.326057269,1.176519421,0.937134284,0.016278202,0.211958699,0.939988485,0.157502891,0.101946388,7,1,3,3,1.046808725,27.16118739,0,-8.377922222,-30.37088522,0.695074878
2286,1.373573681,1.515767139,2.849029622,0.629627208,0.67803357,0.247607923,1.017841735,0.299764029,0.185668048,4,1,0,3,1.606472264,118.0034391,4.96E-09,-10.30807802,-28.04381127,0.436897251
2287,2.559855316,1.496020071,2.550734279,0.486658149,0.463555975,0.592995645,0.919305115,0.254326294,0.375728229,2,1,0,1,0.90155145,87.80837451,0.287358248,-0.797726444,-7.882267862,0.725618336
2288,2.836507791,2.404542274,2.751981509,0.31743994,0.089053245,0.41299117,0.789456103,0.208545933,0.690435313,4,0,3,1,0.827601024,48.6704863,0.123188321,-1.405745138,-9.038255972,0.464389276
2289,0.98057359,1.698878553,1.784459032,0.418661122,0.477670305,0.183741482,0.867728362,0.215425872,0.443675697,3,0,0,3,1.05354852,67.84720523,2.99E-09,-8.150092175,-23.34329959,0.447845105
2290,0.115462016,0.244629745,0.725902011,0.752956992,0.713044475,0.816172824,0.990068602,0.268299746,0.020958415,0,0,0,0,0.829301098,107.6070845,0.224605618,-0.675908332,-7.513059039,0.901957275
2291,2.129583815,1.164416762,0.09679884,0.704894571,0.605103025,0.012688034,0.958220461,0.272302657,0.193127051,0,0,0,0,0.981924918,105.5762084,0.117358913,-0.702548386,-7.687113607,0.861831297
2292,1.938090954,0.923983652,0.145854573,0.29883238,0.684154973,0.411028737,1.064572925,0.298320108,0.155021203,2,2,0,0,1.622332598,215.2121835,0.148092162,-0.619765825,-7.857594465,0.871895463
2293,0.258785971,0.291104892,0.785503063,0.918772548,0.137405572,0.488855268,0.955979027,0.164497576,0.053737663,7,1,3,3,1.018500306,26.40422752,0.000113251,-1.336507859,-9.953979205,0.808595656
2294,0.175610859,1.289943884,0.455801537,0.675983403,0.794356069,0.906677656,0.98644631,0.268230481,0.027054536,0,0,0,0,0.816669881,103.9557017,0.244463998,-0.671370112,-7.508949871,0.912234738
2295,1.93947827,1.119228136,0.43411438,0.031480242,0.375489332,0.561965207,0.992127594,0.276650874,0.432486294,3,2,1,0,1.164315555,141.9694939,0.344427942,-0.666831538,-7.744449173,0.84616845
2296,0.991895767,2.297269665,1.013771555,0.553431456,0.287599883,0.633563076,0.914690396,0.236515967,0.193127191,4,0,3,1,0.755075011,66.04657572,0.35930638,-1.028091491,-8.279465616,0.599581103
2297,2.379576475,2.479972398,2.811725961,0.502638124,0.033811827,0.202036884,0.71774158,0.089716682,0.660221217,6,0,3,3,0.823444239,24.54368978,0,-11.79939668,-39.20300717,0.704849191
2298,0.589066463,0.000712329,0.431050994,0.021156565,0.657800876,0.211984981,1.092018858,0.317303491,0.00037328,7,3,1,3,2.941612408,128.4100349,0,-3.392632196,-14.68438998,0.576906836
2299,1.20667326,2.41889993,0.136002079,0.014002079,0.935464237,0.541097451,1.106915247,0.304692881,0.023310895,5,3,1,1,2.947480351,310.7772381,0.084459539,-0.609706645,-8.386533929,0.830455245
